id;nom;groupe;amendements_adoptes;hemicycle_interventions;hemicycle_interventions_courtes;semaines_presence
544;Laurent Baumel;SRC;0;0;0;1
545;Sylviane Bulteau;SRC;8;0;0;2
548;Hugues Fourage;SRC;20;0;0;1
549;Olivier Audibert Troin;LES-REP;4;0;1;4
550;Laure de La Raudière;LES-REP;3;0;0;1
551;Michèle Bonneton;ECOLO;13;5;0;2
553;Jean-Noël Carpentier;RRDP;1;0;0;1
554;Monique Rabin;SRC;0;0;0;2
555;Patrick Hetzel;LES-REP;8;2;2;2
556;Arnaud Leroy;SRC;0;0;0;2
557;Ibrahim Aboubacar;SRC;0;0;0;1
558;Sophie Dion;LES-REP;3;0;0;1
559;François de Mazières;LES-REP;10;84;35;4
560;Luc Belot;SRC;21;0;0;2
562;Alain Chrétien;LES-REP;3;0;4;2
563;Christian Assaf;SRC;2;0;0;2
564;Roger-Gérard Schwartzenberg;RRDP;1;0;1;1
565;Thomas Thévenoud;NI;0;0;0;1
566;Philip Cordery;SRC;8;0;0;2
567;Benoît Hamon;SRC;0;0;0;2
568;Joaquim Pueyo;SRC;0;0;0;1
571;Brigitte Bourguignon;SRC;24;0;5;2
572;Ericka Bareigts;SRC;3;5;0;1
574;Jacques Krabal;RRDP;1;10;4;3
575;Dominique Chauvel;SRC;24;0;0;1
576;Brigitte Allain;ECOLO;13;9;8;1
581;Gwenegan Bui;SRC;0;8;4;2
583;Florence Delaunay;SRC;0;0;0;2
586;Jacques Moignard;RRDP;1;3;1;2
588;Fanélie Carrey-Conte;SRC;0;0;0;1
590;Sylvie Tolmont;SRC;24;0;0;1
596;Jean-Marie Beffara;SRC;0;0;0;1
600;Frédéric Barbier;SRC;2;0;3;2
601;Guillaume Bachelay;SRC;0;0;0;2
603;Geneviève Gosselin-Fleury;SRC;0;0;0;1
604;Élie Aboud;LES-REP;3;1;1;2
605;Sylvain Berrios;LES-REP;4;1;3;4
607;Frédéric Lefebvre;LES-REP;3;0;0;1
608;Meyer Habib;UDI;1;0;1;1
609;Jean-Louis Costes;LES-REP;3;0;0;3
611;Jean-Marc Fournel;SRC;0;0;0;2
612;Christophe Premat;SRC;28;6;0;2
613;Robert Olive;SRC;0;0;0;2
615;Anne-Christine Lang;SRC;24;0;0;2
616;Gilda Hobert;RRDP;1;9;0;2
617;Laurence Arribagé;LES-REP;3;3;0;1
618;Maina Sage;UDI;1;0;0;1
619;Laurent Degallaix;UDI;1;2;0;1
621;Romain Colas;SRC;0;0;0;1
622;Stéphane Claireaux;RRDP;1;11;12;2
623;Pascal Demarthe;SRC;24;1;0;2
624;Régine Povéda;SRC;24;0;0;3
625;Gérard Menuel;LES-REP;3;4;2;3
626;Guy Bailliart;SRC;0;0;0;3
627;David Comet;SRC;0;4;0;2
628;Pierre Ribeaud;SRC;8;0;0;2
629;Marie Le Vern;SRC;8;0;0;2
630;Arnaud Viala;LES-REP;1;1;0;2
3;Bernard Reynès;LES-REP;3;0;0;0
5;Marc Laffineur;LES-REP;3;0;0;0
21;Jérôme Lambert;RRDP;1;0;0;0
25;Thierry Lazaro;LES-REP;3;0;0;0
37;Francis Vercamer;UDI;1;0;0;0
39;Denis Jacquat;LES-REP;4;0;0;0
42;Josette Pons;LES-REP;3;0;0;0
49;Marc-Philippe Daubresse;LES-REP;6;0;0;0
51;Victorin Lurel;SRC;0;0;0;0
66;Jean-Claude Bouchet;LES-REP;3;0;0;0
70;Marcel Bonnot;LES-REP;3;0;0;0
74;Hervé Morin;UDI;1;0;0;0
75;Jean-Michel Couve;LES-REP;4;0;0;0
76;Jean-Louis Christ;LES-REP;3;0;0;0
99;Michèle Tabarot;LES-REP;3;0;0;0
102;Nicole Ameline;LES-REP;3;0;0;0
108;Pascal Deguilhem;SRC;24;0;0;0
112;François-Xavier Villain;UDI;1;0;0;0
115;Alfred Marie-Jeanne;GDR;0;0;0;0
117;Jacques Valax;SRC;0;0;0;0
121;Jean-François Copé;LES-REP;3;0;0;0
135;Pierre Morel-A-L'Huissier;LES-REP;3;0;0;0
146;Henri Jibrayel;SRC;2;0;0;0
155;Philippe Briand;LES-REP;3;0;0;0
196;Marie-Jo Zimmermann;LES-REP;3;0;0;0
203;Alain Gest;LES-REP;3;0;0;0
208;Huguette Bello;GDR;0;0;0;0
216;Sauveur Gandolfi-Scheit;LES-REP;4;0;0;0
218;Luc Chatel;LES-REP;3;0;0;0
220;Alain Suguenot;LES-REP;3;0;0;0
223;Christophe Guilloteau;LES-REP;3;0;0;0
230;Yves Jégo;UDI;1;0;0;0
233;Alain Marleix;LES-REP;3;0;0;0
239;Olivier Dassault;LES-REP;3;0;0;0
